"","y.first","z.first","pts","days","psi","p","phi","g","yrs","nsim","NA"
"142",0,0,"input values 30"," 45"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 30, 45, 0.5, 0.08, 0.95, 0, 15, 500"
"143",0,0,"input values 30"," 45"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 30, 45, 0.5, 0.08, 0.99, 0, 15, 500"
"144",14,2,"input values 30"," 45"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 30, 45, 0.5, 0.2, 0.9, 0, 15, 500"
"145",12,4,"input values 30"," 45"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 30, 45, 0.5, 0.2, 0.95, 0, 15, 500"
"146",0,0,"input values 30"," 45"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 30, 45, 0.5, 0.2, 0.99, 0, 15, 500"
"147",9,2,"input values 30"," 45"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 30, 45, 0.5, 0.5, 0.9, 0, 15, 500"
"148",12,4,"input values 30"," 45"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 30, 45, 0.5, 0.5, 0.95, 0, 15, 500"
"149",0,0,"input values 30"," 45"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 30, 45, 0.5, 0.5, 0.99, 0, 15, 500"
"150",8,2,"input values 30"," 60"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 30, 60, 0.5, 0.08, 0.85, 0, 15, 500"
"151",9,0,"input values 30"," 60"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 30, 60, 0.5, 0.08, 0.9, 0, 15, 500"
"152",13,0,"input values 30"," 60"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 30, 60, 0.5, 0.08, 0.95, 0, 15, 500"
"153",0,0,"input values 30"," 60"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 30, 60, 0.5, 0.08, 0.99, 0, 15, 500"
"154",9,2,"input values 30"," 60"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 30, 60, 0.5, 0.2, 0.9, 0, 15, 500"
"155",11,4,"input values 30"," 60"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 30, 60, 0.5, 0.2, 0.95, 0, 15, 500"
"156",0,0,"input values 30"," 60"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 30, 60, 0.5, 0.2, 0.99, 0, 15, 500"
"157",9,2,"input values 30"," 60"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 30, 60, 0.5, 0.5, 0.9, 0, 15, 500"
"158",11,4,"input values 30"," 60"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 30, 60, 0.5, 0.5, 0.95, 0, 15, 500"
"159",0,0,"input values 30"," 60"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 30, 60, 0.5, 0.5, 0.99, 0, 15, 500"
"160",8,1,"input values 60"," 15"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 60, 15, 0.5, 0.08, 0.85, 0, 15, 500"
"161",8,1,"input values 60"," 15"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 60, 15, 0.5, 0.08, 0.9, 0, 15, 500"
"162",8,1,"input values 60"," 15"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 60, 15, 0.5, 0.08, 0.95, 0, 15, 500"
"163",8,1,"input values 60"," 15"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 60, 15, 0.5, 0.08, 0.99, 0, 15, 500"
"164",9,1,"input values 60"," 15"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 60, 15, 0.5, 0.2, 0.9, 0, 15, 500"
"165",10,1,"input values 60"," 15"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 60, 15, 0.5, 0.2, 0.95, 0, 15, 500"
