"","value","L1"
"571",0,"y.first"
"572",0,"y.first"
"573",0,"y.first"
"574",0,"y.first"
"575",0,"y.first"
"576",0,"y.first"
"577",0,"y.first"
"578",0,"y.first"
"579",0,"y.first"
"580",0,"y.first"
"581",0,"y.first"
"582",0,"y.first"
"583",0,"y.first"
"584",0,"y.first"
"585",0,"y.first"
"586",0,"y.first"
"587",0,"y.first"
"588",0,"y.first"
"589",0,"y.first"
"590",0,"y.first"
"591",0,"y.first"
"592",0,"y.first"
"593",0,"y.first"
"594",0,"y.first"
"595",0,"y.first"
"596",0,"y.first"
"597",0,"y.first"
"598",0,"y.first"
"599",0,"y.first"
"600",0,"y.first"
"601",5,"y.first"
"602",5,"y.first"
"603",6,"y.first"
"604",6,"y.first"
"605",6,"y.first"
"606",6,"y.first"
"607",6,"y.first"
"608",6,"y.first"
"609",6,"y.first"
"610",6,"y.first"
"611",5,"y.first"
"612",6,"y.first"
"613",6,"y.first"
"614",7,"y.first"
"615",7,"y.first"
"616",7,"y.first"
"617",7,"y.first"
"618",7,"y.first"
"619",7,"y.first"
"620",7,"y.first"
"621",5,"y.first"
"622",6,"y.first"
"623",6,"y.first"
"624",7,"y.first"
"625",7,"y.first"
"626",7,"y.first"
"627",7,"y.first"
"628",7,"y.first"
"629",7,"y.first"
"630",7,"y.first"
"631",5,"y.first"
"632",6,"y.first"
"633",6,"y.first"
"634",7,"y.first"
"635",7,"y.first"
"636",7,"y.first"
"637",7,"y.first"
"638",7,"y.first"
"639",7,"y.first"
"640",7,"y.first"
"641",0,"y.first"
"642",0,"y.first"
"643",0,"y.first"
"644",0,"y.first"
"645",0,"y.first"
"646",0,"y.first"
"647",0,"y.first"
"648",0,"y.first"
"649",0,"y.first"
"650",0,"y.first"
"651",0,"y.first"
"652",0,"y.first"
"653",0,"y.first"
"654",0,"y.first"
"655",0,"y.first"
"656",0,"y.first"
"657",0,"y.first"
"658",0,"y.first"
"659",0,"y.first"
"660",0,"y.first"
"661",0,"y.first"
"662",0,"y.first"
"663",0,"y.first"
"664",0,"y.first"
"665",0,"y.first"
"666",0,"y.first"
"667",0,"y.first"
"668",0,"y.first"
"669",0,"y.first"
"670",0,"y.first"
"671",0,"y.first"
"672",0,"y.first"
"673",0,"y.first"
"674",0,"y.first"
"675",0,"y.first"
"676",0,"y.first"
"677",0,"y.first"
"678",0,"y.first"
"679",0,"y.first"
"680",0,"y.first"
"681",5,"y.first"
"682",6,"y.first"
"683",6,"y.first"
"684",7,"y.first"
"685",7,"y.first"
"686",7,"y.first"
"687",7,"y.first"
"688",7,"y.first"
"689",7,"y.first"
"690",7,"y.first"
"691",5,"y.first"
"692",6,"y.first"
"693",6,"y.first"
"694",7,"y.first"
"695",7,"y.first"
"696",7,"y.first"
"697",7,"y.first"
"698",7,"y.first"
"699",7,"y.first"
"700",7,"y.first"
"701",5,"y.first"
"702",6,"y.first"
"703",6,"y.first"
"704",7,"y.first"
"705",7,"y.first"
"706",7,"y.first"
"707",7,"y.first"
"708",7,"y.first"
"709",7,"y.first"
"710",7,"y.first"
"711",5,"y.first"
"712",6,"y.first"
"713",6,"y.first"
"714",7,"y.first"
"715",7,"y.first"
"716",7,"y.first"
"717",7,"y.first"
"718",7,"y.first"
"719",7,"y.first"
"720",7,"y.first"
"721",10,"y.first"
"722",0,"y.first"
"723",0,"y.first"
"724",0,"y.first"
"725",0,"y.first"
"726",0,"y.first"
"727",0,"y.first"
"728",0,"y.first"
"729",0,"y.first"
"730",0,"y.first"
"731",10,"y.first"
"732",0,"y.first"
"733",0,"y.first"
"734",0,"y.first"
"735",0,"y.first"
"736",0,"y.first"
"737",0,"y.first"
"738",0,"y.first"
"739",0,"y.first"
"740",0,"y.first"
"741",10,"y.first"
"742",0,"y.first"
"743",0,"y.first"
"744",0,"y.first"
"745",0,"y.first"
"746",0,"y.first"
"747",0,"y.first"
"748",0,"y.first"
"749",0,"y.first"
"750",0,"y.first"
"751",10,"y.first"
"752",0,"y.first"
"753",0,"y.first"
"754",0,"y.first"
"755",0,"y.first"
"756",0,"y.first"
"757",0,"y.first"
"758",0,"y.first"
"759",0,"y.first"
"760",0,"y.first"
"761",3,"y.first"
"762",3,"y.first"
"763",3,"y.first"
"764",4,"y.first"
"765",4,"y.first"
"766",4,"y.first"
"767",4,"y.first"
"768",4,"y.first"
"769",4,"y.first"
"770",4,"y.first"
"771",4,"y.first"
"772",4,"y.first"
"773",4,"y.first"
"774",4,"y.first"
"775",4,"y.first"
"776",4,"y.first"
"777",4,"y.first"
"778",4,"y.first"
"779",4,"y.first"
"780",4,"y.first"
"781",4,"y.first"
"782",4,"y.first"
"783",4,"y.first"
"784",4,"y.first"
"785",4,"y.first"
"786",4,"y.first"
"787",4,"y.first"
"788",4,"y.first"
"789",4,"y.first"
"790",12,"y.first"
"791",4,"y.first"
"792",4,"y.first"
"793",4,"y.first"
"794",4,"y.first"
"795",4,"y.first"
"796",5,"y.first"
"797",5,"y.first"
"798",5,"y.first"
"799",12,"y.first"
"800",12,"y.first"
"801",10,"y.first"
"802",0,"y.first"
"803",0,"y.first"
"804",0,"y.first"
"805",0,"y.first"
"806",0,"y.first"
"807",0,"y.first"
"808",0,"y.first"
"809",0,"y.first"
"810",0,"y.first"
"811",10,"y.first"
"812",0,"y.first"
"813",0,"y.first"
"814",0,"y.first"
"815",0,"y.first"
"816",0,"y.first"
"817",0,"y.first"
"818",0,"y.first"
"819",0,"y.first"
"820",0,"y.first"
"821",10,"y.first"
"822",0,"y.first"
"823",0,"y.first"
"824",0,"y.first"
"825",0,"y.first"
"826",0,"y.first"
"827",0,"y.first"
"828",0,"y.first"
"829",0,"y.first"
"830",0,"y.first"
"831",10,"y.first"
"832",0,"y.first"
"833",0,"y.first"
"834",0,"y.first"
"835",0,"y.first"
"836",0,"y.first"
"837",0,"y.first"
"838",0,"y.first"
"839",0,"y.first"
"840",0,"y.first"
"841",4,"y.first"
"842",4,"y.first"
"843",4,"y.first"
"844",4,"y.first"
"845",4,"y.first"
"846",4,"y.first"
"847",4,"y.first"
"848",4,"y.first"
"849",4,"y.first"
"850",4,"y.first"
"851",4,"y.first"
"852",4,"y.first"
"853",4,"y.first"
"854",4,"y.first"
"855",5,"y.first"
"856",5,"y.first"
"857",5,"y.first"
"858",5,"y.first"
"859",5,"y.first"
"860",5,"y.first"
"861",4,"y.first"
"862",4,"y.first"
"863",4,"y.first"
"864",4,"y.first"
"865",5,"y.first"
"866",5,"y.first"
"867",5,"y.first"
"868",5,"y.first"
"869",5,"y.first"
"870",5,"y.first"
"871",4,"y.first"
"872",4,"y.first"
"873",4,"y.first"
"874",4,"y.first"
"875",5,"y.first"
"876",5,"y.first"
"877",5,"y.first"
"878",5,"y.first"
"879",12,"y.first"
"880",12,"y.first"
"881",10,"y.first"
"882",0,"y.first"
"883",0,"y.first"
"884",0,"y.first"
"885",0,"y.first"
"886",0,"y.first"
"887",0,"y.first"
"888",0,"y.first"
"889",0,"y.first"
"890",0,"y.first"
"891",10,"y.first"
"892",0,"y.first"
"893",0,"y.first"
"894",0,"y.first"
"895",0,"y.first"
"896",0,"y.first"
"897",0,"y.first"
"898",0,"y.first"
"899",0,"y.first"
"900",0,"y.first"
"901",10,"y.first"
"902",0,"y.first"
"903",0,"y.first"
"904",0,"y.first"
"905",0,"y.first"
"906",0,"y.first"
"907",0,"y.first"
"908",0,"y.first"
"909",0,"y.first"
"910",0,"y.first"
"911",10,"y.first"
"912",0,"y.first"
"913",0,"y.first"
"914",0,"y.first"
"915",0,"y.first"
"916",0,"y.first"
"917",0,"y.first"
"918",0,"y.first"
"919",0,"y.first"
"920",0,"y.first"
"921",4,"y.first"
"922",4,"y.first"
"923",4,"y.first"
"924",4,"y.first"
"925",5,"y.first"
"926",5,"y.first"
"927",5,"y.first"
"928",5,"y.first"
"929",5,"y.first"
"930",5,"y.first"
"931",4,"y.first"
"932",4,"y.first"
"933",4,"y.first"
"934",4,"y.first"
"935",5,"y.first"
"936",5,"y.first"
"937",5,"y.first"
"938",5,"y.first"
"939",5,"y.first"
"940",5,"y.first"
"941",4,"y.first"
"942",4,"y.first"
"943",4,"y.first"
"944",4,"y.first"
"945",5,"y.first"
"946",5,"y.first"
"947",5,"y.first"
"948",5,"y.first"
"949",5,"y.first"
"950",5,"y.first"
"951",4,"y.first"
"952",4,"y.first"
"953",4,"y.first"
"954",4,"y.first"
"955",5,"y.first"
"956",5,"y.first"
"957",5,"y.first"
"958",5,"y.first"
"959",12,"y.first"
"960",12,"y.first"
"961",0,"z.first"
"962",0,"z.first"
"963",9,"z.first"
"964",4,"z.first"
"965",3,"z.first"
"966",3,"z.first"
"967",2,"z.first"
"968",2,"z.first"
"969",2,"z.first"
"970",1,"z.first"
"971",0,"z.first"
"972",0,"z.first"
"973",0,"z.first"
"974",9,"z.first"
"975",6,"z.first"
"976",6,"z.first"
"977",4,"z.first"
"978",4,"z.first"
"979",4,"z.first"
"980",3,"z.first"
"981",0,"z.first"
"982",0,"z.first"
"983",0,"z.first"
"984",0,"z.first"
"985",0,"z.first"
"986",0,"z.first"
"987",11,"z.first"
"988",10,"z.first"
"989",9,"z.first"
"990",6,"z.first"
"991",0,"z.first"
"992",0,"z.first"
"993",0,"z.first"
"994",0,"z.first"
"995",0,"z.first"
"996",0,"z.first"
"997",0,"z.first"
"998",0,"z.first"
"999",0,"z.first"
"1000",0,"z.first"
"1001",2,"z.first"
"1002",1,"z.first"
"1003",1,"z.first"
"1004",1,"z.first"
"1005",1,"z.first"
"1006",1,"z.first"
"1007",1,"z.first"
"1008",1,"z.first"
"1009",1,"z.first"
"1010",1,"z.first"
"1011",3,"z.first"
"1012",2,"z.first"
"1013",1,"z.first"
"1014",1,"z.first"
"1015",1,"z.first"
"1016",1,"z.first"
"1017",1,"z.first"
"1018",1,"z.first"
"1019",1,"z.first"
"1020",1,"z.first"
"1021",9,"z.first"
"1022",4,"z.first"
"1023",3,"z.first"
"1024",2,"z.first"
"1025",2,"z.first"
"1026",2,"z.first"
"1027",2,"z.first"
"1028",1,"z.first"
"1029",1,"z.first"
"1030",1,"z.first"
"1031",0,"z.first"
"1032",9,"z.first"
"1033",5,"z.first"
"1034",5,"z.first"
"1035",3,"z.first"
"1036",3,"z.first"
"1037",2,"z.first"
"1038",3,"z.first"
"1039",2,"z.first"
"1040",2,"z.first"
"1041",0,"z.first"
"1042",0,"z.first"
"1043",0,"z.first"
"1044",0,"z.first"
"1045",0,"z.first"
"1046",11,"z.first"
"1047",9,"z.first"
"1048",8,"z.first"
"1049",7,"z.first"
"1050",5,"z.first"
"1051",0,"z.first"
"1052",0,"z.first"
"1053",0,"z.first"
"1054",0,"z.first"
"1055",0,"z.first"
"1056",0,"z.first"
"1057",0,"z.first"
"1058",0,"z.first"
"1059",0,"z.first"
"1060",0,"z.first"
"1061",0,"z.first"
"1062",0,"z.first"
"1063",0,"z.first"
"1064",0,"z.first"
"1065",0,"z.first"
"1066",0,"z.first"
"1067",0,"z.first"
"1068",0,"z.first"
"1069",0,"z.first"
"1070",0,"z.first"
"1071",0,"z.first"
"1072",0,"z.first"
"1073",0,"z.first"
"1074",0,"z.first"
"1075",0,"z.first"
"1076",0,"z.first"
"1077",0,"z.first"
"1078",0,"z.first"
"1079",0,"z.first"
"1080",0,"z.first"
"1081",6,"z.first"
"1082",3,"z.first"
"1083",2,"z.first"
"1084",2,"z.first"
"1085",2,"z.first"
"1086",2,"z.first"
"1087",1,"z.first"
"1088",1,"z.first"
"1089",1,"z.first"
"1090",1,"z.first"
"1091",0,"z.first"
"1092",0,"z.first"
"1093",8,"z.first"
"1094",6,"z.first"
"1095",5,"z.first"
"1096",4,"z.first"
"1097",4,"z.first"
"1098",3,"z.first"
"1099",3,"z.first"
"1100",2,"z.first"
"1101",0,"z.first"
"1102",0,"z.first"
"1103",9,"z.first"
"1104",6,"z.first"
"1105",5,"z.first"
"1106",5,"z.first"
"1107",4,"z.first"
"1108",4,"z.first"
"1109",3,"z.first"
"1110",2,"z.first"
"1111",0,"z.first"
"1112",0,"z.first"
"1113",9,"z.first"
"1114",7,"z.first"
"1115",5,"z.first"
"1116",5,"z.first"
"1117",4,"z.first"
"1118",4,"z.first"
"1119",3,"z.first"
"1120",3,"z.first"
"1121",0,"z.first"
"1122",0,"z.first"
"1123",0,"z.first"
"1124",0,"z.first"
"1125",0,"z.first"
"1126",0,"z.first"
"1127",0,"z.first"
"1128",0,"z.first"
"1129",0,"z.first"
"1130",0,"z.first"
"1131",0,"z.first"
"1132",0,"z.first"
"1133",0,"z.first"
"1134",0,"z.first"
"1135",0,"z.first"
"1136",0,"z.first"
"1137",0,"z.first"
"1138",0,"z.first"
"1139",0,"z.first"
"1140",0,"z.first"
"1141",0,"z.first"
"1142",0,"z.first"
"1143",0,"z.first"
"1144",0,"z.first"
"1145",0,"z.first"
"1146",0,"z.first"
"1147",0,"z.first"
"1148",0,"z.first"
"1149",0,"z.first"
"1150",0,"z.first"
"1151",0,"z.first"
"1152",0,"z.first"
"1153",0,"z.first"
"1154",0,"z.first"
"1155",0,"z.first"
"1156",0,"z.first"
"1157",0,"z.first"
"1158",0,"z.first"
"1159",0,"z.first"
"1160",0,"z.first"
"1161",0,"z.first"
"1162",0,"z.first"
"1163",9,"z.first"
"1164",7,"z.first"
"1165",6,"z.first"
"1166",5,"z.first"
"1167",4,"z.first"
"1168",4,"z.first"
"1169",3,"z.first"
"1170",3,"z.first"
"1171",0,"z.first"
"1172",0,"z.first"
"1173",9,"z.first"
"1174",7,"z.first"
"1175",6,"z.first"
"1176",4,"z.first"
"1177",4,"z.first"
"1178",4,"z.first"
"1179",3,"z.first"
"1180",3,"z.first"
"1181",0,"z.first"
"1182",0,"z.first"
"1183",9,"z.first"
"1184",6,"z.first"
"1185",5,"z.first"
"1186",5,"z.first"
"1187",4,"z.first"
"1188",4,"z.first"
"1189",3,"z.first"
"1190",2,"z.first"
"1191",0,"z.first"
"1192",0,"z.first"
"1193",9,"z.first"
"1194",7,"z.first"
"1195",5,"z.first"
"1196",5,"z.first"
"1197",4,"z.first"
"1198",4,"z.first"
"1199",3,"z.first"
"1200",3,"z.first"
"1201",0,"z.first"
"1202",0,"z.first"
"1203",9,"z.first"
"1204",4,"z.first"
"1205",3,"z.first"
"1206",3,"z.first"
"1207",2,"z.first"
"1208",2,"z.first"
"1209",1,"z.first"
"1210",1,"z.first"
"1211",0,"z.first"
"1212",0,"z.first"
"1213",11,"z.first"
"1214",7,"z.first"
"1215",5,"z.first"
"1216",4,"z.first"
"1217",3,"z.first"
"1218",3,"z.first"
"1219",3,"z.first"
"1220",2,"z.first"
"1221",0,"z.first"
"1222",0,"z.first"
"1223",0,"z.first"
"1224",10,"z.first"
"1225",9,"z.first"
"1226",7,"z.first"
"1227",5,"z.first"
"1228",5,"z.first"
"1229",5,"z.first"
"1230",3,"z.first"
"1231",0,"z.first"
"1232",0,"z.first"
"1233",0,"z.first"
"1234",0,"z.first"
"1235",10,"z.first"
"1236",9,"z.first"
"1237",8,"z.first"
"1238",7,"z.first"
"1239",5,"z.first"
"1240",4,"z.first"
"1241",1,"z.first"
"1242",1,"z.first"
"1243",1,"z.first"
"1244",1,"z.first"
"1245",1,"z.first"
"1246",1,"z.first"
"1247",1,"z.first"
